County,State,mean_life_expectancy,State_FIPS,County_FIPS,Unemployment Rate,No Vehicle (Renter),Total Occupied Households,White Population,Total Population,Rent Burden Count (+50%),Hispanic Population,Total Families (Single Mother),No Vehicle (Owner),Median Household Income,Median Age,Gini Index,Total Families,Bachelor's Degree or Higher (%),Rent Denominator,Disability Rate,Poverty Rate,High School Degree or Higher (%),Black Population,Year
Cleburne County,Arkansas,75.8897883042267,5,23,4.7,87.0,10731.0,24473.0,25230.0,356.0,618.0,504.0,211.0,43391.0,49.4,0.4582,7266.0,14.9,2728.0,17.8,14.6,84.7,140.0,2018
Cleveland County,Arkansas,74.9601675422995,5,25,5.5,77.0,3292.0,7106.0,8226.0,94.0,154.0,282.0,97.0,42460.0,42.7,0.4418,2294.0,16.2,810.0,20.4,19.4,88.6,924.0,2018
Columbia County,Arkansas,74.3920918341417,5,27,10.2,336.0,8962.0,14476.0,23892.0,555.0,650.0,741.0,140.0,36148.0,36.0,0.4974,5759.0,20.6,2801.0,18.5,25.2,85.0,8351.0,2018
Conway County,Arkansas,74.8124099395122,5,29,5.9,383.0,8475.0,17805.0,20906.0,282.0,812.0,533.0,211.0,41196.0,41.7,0.4675,5649.0,16.0,2689.0,23.3,18.2,85.9,2282.0,2018
Craighead County,Arkansas,76.2618331131667,5,31,5.8,2601.0,40800.0,83979.0,105701.0,3932.0,5253.0,3920.0,483.0,45868.0,34.1,0.493,26481.0,26.3,17355.0,17.5,18.4,89.1,14622.0,2018
Crawford County,Arkansas,76.0303039795828,5,33,5.1,569.0,23701.0,55196.0,62472.0,1161.0,4715.0,1568.0,358.0,46619.0,38.7,0.4456,17328.0,15.3,5519.0,20.2,15.9,85.2,978.0,2018
Crittenden County,Arkansas,72.9678543864573,5,35,9.4,1729.0,18756.0,21763.0,49013.0,1902.0,1210.0,2505.0,304.0,39002.0,35.1,0.4568,12027.0,18.0,7885.0,17.0,22.2,82.4,23789.0,2018
Cross County,Arkansas,73.2798919731548,5,37,5.7,341.0,6694.0,12695.0,16998.0,409.0,330.0,562.0,130.0,43838.0,41.2,0.4752,4679.0,15.4,2180.0,19.9,16.7,82.8,3308.0,2018
Dallas County,Arkansas,73.7130043686649,5,39,4.9,204.0,3033.0,4123.0,7432.0,105.0,229.0,243.0,140.0,36628.0,43.7,0.4104,1913.0,13.7,973.0,23.2,14.3,83.6,3093.0,2018
Desha County,Arkansas,72.7276609628183,5,41,10.7,640.0,5111.0,5855.0,11887.0,332.0,698.0,495.0,160.0,30234.0,39.1,0.4642,3339.0,12.4,2076.0,20.7,29.1,78.8,5596.0,2018
Drew County,Arkansas,75.2211103202167,5,43,5.8,295.0,7018.0,12701.0,18502.0,463.0,609.0,528.0,172.0,43014.0,37.0,0.4806,4474.0,20.6,2228.0,20.4,21.4,85.1,5333.0,2018
Faulkner County,Arkansas,76.5427391151303,5,45,4.7,1571.0,44095.0,100652.0,122416.0,3918.0,4956.0,2661.0,563.0,51930.0,32.5,0.4615,28494.0,30.0,16480.0,14.6,16.8,91.3,13904.0,2018
Franklin County,Arkansas,74.6633798673886,5,47,3.0,271.0,6800.0,16743.0,17780.0,460.0,545.0,202.0,98.0,39463.0,41.3,0.448,4699.0,11.8,1872.0,21.0,21.9,82.6,172.0,2018
Fulton County,Arkansas,75.0726412158052,5,49,6.6,157.0,5000.0,11686.0,12139.0,200.0,183.0,263.0,74.0,36184.0,48.1,0.4311,3520.0,11.8,1091.0,24.1,23.9,84.6,71.0,2018
Garland County,Arkansas,74.6917741981376,5,51,7.1,2437.0,39894.0,84747.0,98296.0,3096.0,5434.0,2998.0,632.0,43146.0,44.9,0.4881,25362.0,20.2,12939.0,20.5,18.6,88.4,8031.0,2018
Grant County,Arkansas,75.3837861639195,5,53,7.1,120.0,6780.0,17182.0,18086.0,275.0,481.0,346.0,52.0,51920.0,40.4,0.4394,5094.0,18.3,1363.0,19.7,14.5,91.5,541.0,2018
Greene County,Arkansas,74.2408679220059,5,55,7.0,528.0,16879.0,42566.0,44623.0,972.0,1244.0,1067.0,238.0,47497.0,37.9,0.417,12104.0,15.9,5445.0,23.0,16.3,87.3,720.0,2018
Hempstead County,Arkansas,75.3276249243193,5,57,5.5,392.0,7971.0,13067.0,22018.0,372.0,2786.0,822.0,170.0,41355.0,39.9,0.4257,5543.0,15.1,2498.0,17.9,24.3,81.0,6713.0,2018
Hot Spring County,Arkansas,74.4739215374817,5,59,7.5,383.0,12377.0,28346.0,33520.0,492.0,1148.0,796.0,338.0,41262.0,41.3,0.4369,8874.0,14.7,3008.0,23.7,17.6,85.4,4032.0,2018
Howard County,Arkansas,74.2175286904666,5,61,6.4,311.0,5096.0,8964.0,13389.0,276.0,1631.0,522.0,109.0,35900.0,38.8,0.5284,3393.0,14.7,1604.0,18.4,19.2,82.9,2761.0,2018
Independence County,Arkansas,75.9418583152842,5,63,4.9,424.0,14268.0,34252.0,37264.0,571.0,2305.0,723.0,193.0,43523.0,39.4,0.45,9977.0,18.9,3977.0,19.7,17.3,85.8,693.0,2018
Izard County,Arkansas,75.4317695846984,5,65,9.3,180.0,5049.0,12835.0,13559.0,163.0,302.0,140.0,68.0,40218.0,48.0,0.4257,3398.0,13.8,1055.0,24.5,17.1,85.1,254.0,2018
Jackson County,Arkansas,73.3266666408661,5,67,6.6,286.0,6095.0,13516.0,17225.0,329.0,485.0,367.0,83.0,33174.0,39.9,0.5031,3622.0,10.2,1868.0,22.2,23.3,78.9,2143.0,2018
Jefferson County,Arkansas,73.3590923821139,5,69,10.0,2028.0,26977.0,28231.0,70424.0,2395.0,1432.0,2633.0,736.0,38289.0,38.8,0.4695,16316.0,17.8,10130.0,18.0,23.2,86.0,39889.0,2018
Johnson County,Arkansas,75.8064818743859,5,71,4.1,339.0,9800.0,24033.0,26291.0,557.0,3627.0,658.0,143.0,37170.0,38.0,0.4427,6821.0,15.8,2784.0,20.3,22.4,79.4,424.0,2018
Lafayette County,Arkansas,74.6587982386832,5,73,5.8,167.0,2859.0,4196.0,6915.0,125.0,172.0,225.0,94.0,32412.0,46.3,0.5762,1816.0,16.5,668.0,22.7,22.2,81.7,2533.0,2018
Lawrence County,Arkansas,74.0656088368156,5,75,7.2,282.0,6531.0,16127.0,16669.0,332.0,240.0,312.0,98.0,38528.0,41.1,0.4358,4463.0,15.0,2172.0,23.7,17.7,85.5,173.0,2018
Lee County,Arkansas,73.3490156735839,5,77,15.3,405.0,3352.0,3978.0,9398.0,301.0,167.0,291.0,143.0,28367.0,41.8,0.4992,2111.0,8.9,1418.0,23.9,26.0,73.0,5313.0,2018
Lincoln County,Arkansas,75.1131078790431,5,79,3.5,193.0,3795.0,9104.0,13695.0,125.0,516.0,204.0,142.0,45166.0,38.6,0.4452,2806.0,8.9,964.0,23.5,18.6,81.3,4292.0,2018
Little River County,Arkansas,74.1807882572467,5,81,10.8,292.0,5440.0,9128.0,12417.0,97.0,107.0,403.0,159.0,45388.0,42.6,0.4643,3290.0,11.4,1506.0,21.6,15.8,88.2,2762.0,2018
Logan County,Arkansas,74.4320848649481,5,83,8.8,286.0,8464.0,19905.0,21757.0,353.0,642.0,637.0,114.0,39748.0,41.5,0.4486,6137.0,12.1,2389.0,21.0,21.1,85.1,293.0,2018
Lonoke County,Arkansas,74.9345664780834,5,85,4.2,757.0,26868.0,64282.0,72206.0,1465.0,3196.0,1805.0,364.0,57509.0,36.1,0.4052,20173.0,20.3,8362.0,13.8,12.2,88.7,4379.0,2018
Madison County,Arkansas,75.5976399371591,5,87,6.4,261.0,6195.0,15105.0,16076.0,126.0,896.0,286.0,76.0,43891.0,42.6,0.4787,4501.0,12.5,1340.0,19.1,16.8,79.7,87.0,2018
Marion County,Arkansas,75.4429778062734,5,89,7.9,252.0,6669.0,15805.0,16438.0,297.0,366.0,308.0,174.0,35518.0,51.7,0.4433,4427.0,17.2,1409.0,22.9,20.6,86.9,145.0,2018
Miller County,Arkansas,74.6268522519816,5,91,8.1,935.0,16748.0,30846.0,43759.0,1419.0,1405.0,1729.0,388.0,41903.0,38.9,0.4662,11163.0,16.6,6077.0,19.3,21.2,86.0,10844.0,2018
Mississippi County,Arkansas,71.4920842695116,5,93,9.3,1233.0,16888.0,25863.0,42831.0,1359.0,1728.0,2122.0,423.0,37237.0,36.2,0.4622,11153.0,12.8,7363.0,19.5,25.8,80.7,15070.0,2018
Monroe County,Arkansas,72.4674227246369,5,95,6.8,361.0,3326.0,4058.0,7249.0,170.0,199.0,377.0,66.0,35190.0,47.0,0.4699,1975.0,10.5,1332.0,23.6,28.1,77.1,2897.0,2018
Montgomery County,Arkansas,75.793052336322,5,97,5.7,87.0,3761.0,8205.0,8993.0,73.0,383.0,141.0,123.0,37855.0,50.0,0.4524,2648.0,10.8,653.0,26.1,18.9,78.2,20.0,2018
Nevada County,Arkansas,74.2958611849283,5,99,5.6,127.0,3303.0,5348.0,8440.0,91.0,24.0,319.0,74.0,37635.0,44.8,0.414,2174.0,15.4,1055.0,22.2,27.7,86.8,2927.0,2018
Newton County,Arkansas,77.1907959033018,5,101,2.0,37.0,2899.0,7435.0,7848.0,63.0,73.0,85.0,79.0,39896.0,49.1,0.4312,1934.0,16.2,342.0,22.6,14.2,82.6,2.0,2018
Ouachita County,Arkansas,73.0491101838795,5,103,7.2,700.0,10055.0,13655.0,24106.0,833.0,546.0,1000.0,277.0,34887.0,42.3,0.477,6319.0,16.0,3201.0,19.2,24.1,85.6,9904.0,2018
Perry County,Arkansas,75.0236567504255,5,105,6.8,148.0,3708.0,9578.0,10322.0,123.0,297.0,129.0,73.0,46071.0,43.5,0.4031,2745.0,11.9,738.0,24.1,17.0,83.4,196.0,2018
Phillips County,Arkansas,71.1931915908736,5,107,10.5,1105.0,7498.0,6893.0,19034.0,802.0,343.0,958.0,200.0,29263.0,38.5,0.4925,4706.0,14.0,3884.0,22.8,33.2,78.4,11921.0,2018
Pike County,Arkansas,75.0824421118564,5,109,4.5,124.0,4299.0,9740.0,10808.0,111.0,703.0,230.0,93.0,37406.0,42.8,0.4352,2938.0,14.7,981.0,27.3,16.6,84.8,355.0,2018
Poinsett County,Arkansas,71.3031716770786,5,111,5.9,505.0,9437.0,21306.0,24054.0,676.0,707.0,855.0,154.0,39277.0,39.7,0.4161,6811.0,10.1,3447.0,21.8,21.8,80.6,1149.0,2018
Polk County,Arkansas,75.2198849618385,5,113,9.0,299.0,8204.0,18538.0,20163.0,360.0,1319.0,530.0,232.0,37035.0,43.7,0.4377,5516.0,13.3,1987.0,22.5,24.5,84.6,91.0,2018
Pope County,Arkansas,76.6203759107694,5,115,6.2,919.0,22628.0,58030.0,63644.0,1434.0,5563.0,1496.0,325.0,41914.0,35.0,0.464,14892.0,22.0,7151.0,16.7,18.5,84.8,1895.0,2018
Prairie County,Arkansas,75.966819358482,5,117,6.4,170.0,3826.0,7037.0,8244.0,119.0,61.0,211.0,88.0,41846.0,46.2,0.44,2489.0,15.1,1071.0,21.2,15.7,82.2,1073.0,2018
Pulaski County,Arkansas,76.0611102581848,5,119,5.2,9091.0,157083.0,222468.0,393463.0,14992.0,24078.0,15084.0,2375.0,50093.0,36.9,0.5025,95287.0,34.1,65275.0,15.5,17.0,90.4,143508.0,2018
Randolph County,Arkansas,74.3973999793014,5,121,4.2,287.0,7455.0,16854.0,17603.0,369.0,344.0,440.0,150.0,36870.0,41.5,0.4593,5033.0,14.0,2084.0,21.6,18.3,82.7,201.0,2018
Saint Francis County,Arkansas,74.1021367670649,5,123,8.0,999.0,9319.0,10743.0,26294.0,907.0,708.0,990.0,222.0,35356.0,38.9,0.4729,5726.0,10.6,3998.0,18.9,26.6,80.6,14624.0,2018
Saline County,Arkansas,77.1843392125055,5,125,3.9,1038.0,43604.0,105202.0,118009.0,1368.0,5451.0,2766.0,694.0,62152.0,39.2,0.3983,31386.0,26.1,9437.0,16.9,8.5,90.4,8293.0,2018
Scott County,Arkansas,74.7730329022547,5,127,10.3,254.0,3855.0,9179.0,10442.0,211.0,792.0,158.0,77.0,35509.0,41.0,0.4325,2539.0,9.1,990.0,22.1,22.1,78.9,28.0,2018
Searcy County,Arkansas,75.2517345364764,5,129,3.0,117.0,3271.0,7421.0,7923.0,148.0,183.0,107.0,118.0,36390.0,47.6,0.4693,2178.0,12.5,732.0,22.7,21.1,84.5,54.0,2018
Sebastian County,Arkansas,75.9956131141566,5,131,4.9,2736.0,50670.0,95473.0,127461.0,4040.0,17860.0,3637.0,676.0,43240.0,37.5,0.4781,32833.0,19.7,20402.0,18.8,20.3,83.2,8877.0,2018
Sevier County,Arkansas,75.4897788457826,5,133,5.2,182.0,5854.0,10858.0,17193.0,231.0,5703.0,328.0,69.0,46667.0,34.9,0.4221,4298.0,11.5,1470.0,13.8,21.0,74.3,874.0,2018
Sharp County,Arkansas,73.8772637972242,5,135,5.0,212.0,7354.0,16216.0,17043.0,387.0,373.0,367.0,100.0,33708.0,47.4,0.4758,4435.0,11.3,1781.0,26.6,21.6,83.6,119.0,2018
Stone County,Arkansas,76.1304929728617,5,137,6.4,137.0,4954.0,12024.0,12446.0,291.0,236.0,199.0,75.0,36162.0,49.8,0.4595,3387.0,12.8,1351.0,22.3,22.5,79.6,9.0,2018
Union County,Arkansas,73.4174077792713,5,139,7.3,518.0,15904.0,25485.0,39732.0,980.0,1540.0,1398.0,247.0,44000.0,40.1,0.4739,10699.0,20.8,4016.0,16.9,20.1,84.8,12972.0,2018
Van Buren County,Arkansas,76.1831675574109,5,141,7.2,277.0,6852.0,15996.0,16684.0,296.0,508.0,313.0,117.0,36897.0,47.9,0.445,4711.0,14.1,1593.0,23.9,18.8,85.8,81.0,2018
Washington County,Arkansas,77.990955582861,5,143,4.4,3935.0,85891.0,177357.0,228529.0,7579.0,38052.0,4991.0,1250.0,49629.0,31.8,0.4967,53496.0,32.8,40122.0,10.3,16.8,85.0,8149.0,2018
White County,Arkansas,75.3891115505783,5,145,5.8,1246.0,29263.0,71645.0,78804.0,1735.0,3382.0,2092.0,545.0,43822.0,36.6,0.4731,20476.0,21.4,9789.0,16.1,17.0,85.4,3206.0,2018
Woodruff County,Arkansas,72.862006974415,5,147,8.9,206.0,2890.0,4633.0,6660.0,120.0,12.0,220.0,104.0,31023.0,45.6,0.4949,1815.0,12.0,968.0,24.3,25.0,80.0,1845.0,2018
Yell County,Arkansas,74.6715621808677,5,149,5.6,218.0,7491.0,16956.0,21573.0,318.0,4314.0,684.0,145.0,42361.0,39.3,0.4501,5608.0,13.5,2228.0,20.9,16.3,80.1,542.0,2018
Alameda County,California,82.5117230510974,6,1,5.1,45219.0,572870.0,681725.0,1643700.0,62990.0,369061.0,29671.0,9597.0,92574.0,37.4,0.4624,383468.0,46.0,267736.0,9.4,10.6,88.0,177135.0,2018
Alpine County,California,78.6184132405496,6,3,17.8,4.0,299.0,723.0,1146.0,4.0,105.0,13.0,14.0,64688.0,44.3,0.4967,177.0,30.0,48.0,20.7,19.8,88.9,9.0,2018
Amador County,California,79.6700527007408,6,5,8.6,379.0,14090.0,32989.0,37829.0,814.0,5132.0,516.0,394.0,61198.0,50.5,0.4437,9446.0,20.3,3292.0,18.5,9.7,90.3,790.0,2018
Butte County,California,77.5510398533407,6,7,8.7,4559.0,86797.0,186095.0,227075.0,11183.0,36358.0,4744.0,1673.0,48443.0,37.1,0.4893,51436.0,26.5,35439.0,17.0,20.1,89.3,3477.0,2018
Calaveras County,California,79.4937097704614,6,9,6.1,230.0,17417.0,41375.0,45235.0,1159.0,5297.0,617.0,201.0,58151.0,52.1,0.4464,11776.0,18.7,3891.0,21.4,11.7,90.4,302.0,2018
Colusa County,California,79.8121558402712,6,11,5.1,273.0,7113.0,18854.0,21464.0,527.0,12655.0,551.0,113.0,56704.0,35.1,0.4982,5466.0,15.4,2742.0,12.3,13.8,69.4,362.0,2018
Contra Costa County,California,82.1166155136634,6,13,6.1,15554.0,392277.0,648325.0,1133247.0,34047.0,288101.0,23523.0,5884.0,93712.0,39.4,0.4703,282085.0,41.7,134749.0,11.2,9.1,89.4,97333.0,2018
Del Norte County,California,75.5876660864016,6,15,8.3,653.0,9799.0,20958.0,27424.0,912.0,5340.0,736.0,289.0,45258.0,38.6,0.4857,6039.0,14.3,3684.0,21.0,22.5,81.0,785.0,2018
El Dorado County,California,81.7175928361167,6,17,6.2,1664.0,69172.0,164202.0,186661.0,3674.0,23631.0,2623.0,1186.0,80582.0,45.8,0.4494,48535.0,33.7,16182.0,13.3,8.9,93.1,1494.0,2018
Fresno County,California,78.5774233152407,6,19,9.4,21805.0,304624.0,627437.0,978130.0,42103.0,515907.0,31712.0,4000.0,51261.0,32.0,0.4785,221080.0,20.7,143680.0,13.0,24.1,75.3,47372.0,2018
Glenn County,California,77.3237108142528,6,21,6.8,303.0,10017.0,23127.0,27897.0,1031.0,11504.0,684.0,181.0,47395.0,36.6,0.4548,7390.0,13.9,4036.0,16.8,18.8,75.3,255.0,2018
Humboldt County,California,76.9699850790142,6,23,8.0,3115.0,54267.0,108784.0,135768.0,7140.0,15360.0,3125.0,1018.0,45528.0,38.0,0.4754,30101.0,29.8,23414.0,16.3,20.3,90.3,1585.0,2018
Imperial County,California,80.8834382757586,6,25,15.3,2603.0,44057.0,115817.0,180216.0,4904.0,151019.0,4188.0,639.0,45834.0,32.4,0.4768,33880.0,14.5,18340.0,14.4,24.2,69.0,4591.0,2018
Inyo County,California,79.4082290287002,6,27,5.2,430.0,8083.0,14557.0,18085.0,544.0,3927.0,387.0,122.0,52874.0,45.7,0.424,4300.0,26.1,2973.0,14.1,10.2,88.8,161.0,2018
Kern County,California,77.1798988763483,6,29,10.3,14461.0,267913.0,663592.0,883053.0,29065.0,465842.0,25118.0,3820.0,52479.0,31.5,0.4645,200379.0,16.1,112518.0,11.2,22.0,73.8,48179.0,2018
Kings County,California,79.5158893403858,6,31,8.4,2174.0,42735.0,98429.0,150075.0,4321.0,81154.0,4555.0,556.0,53865.0,31.7,0.4346,32786.0,13.5,20621.0,12.4,20.8,73.7,9687.0,2018
Lake County,California,74.9388266144901,6,33,9.8,1149.0,25966.0,49463.0,64148.0,2311.0,12830.0,1735.0,632.0,42475.0,45.6,0.4796,15359.0,15.8,8809.0,20.1,21.0,85.2,1562.0,2018
Lassen County,California,78.2889851142427,6,35,6.1,375.0,9493.0,25672.0,31185.0,716.0,5834.0,458.0,185.0,56362.0,36.0,0.4231,6141.0,12.0,3048.0,16.8,13.8,82.8,2738.0,2018
Los Angeles County,California,81.7722051489058,6,37,6.8,254213.0,3306109.0,5186859.0,10098052.0,528626.0,4893603.0,221777.0,44151.0,64251.0,36.2,0.5022,2207265.0,31.8,1791480.0,9.9,16.0,78.7,823987.0,2018
Madera County,California,79.1324957900949,6,39,8.3,2041.0,44759.0,111621.0,155013.0,3761.0,88806.0,3836.0,634.0,52884.0,33.9,0.4408,34804.0,14.5,16132.0,13.2,20.8,71.9,5026.0,2018
Marin County,California,85.0172356317939,6,41,3.8,3850.0,105258.0,203342.0,260295.0,9943.0,41335.0,4212.0,1280.0,110217.0,46.5,0.5158,65685.0,58.8,38058.0,8.9,7.6,93.2,5709.0,2018
Mariposa County,California,80.0918795754373,6,43,8.7,173.0,7700.0,15579.0,17540.0,636.0,1909.0,310.0,75.0,51199.0,51.4,0.4349,5019.0,23.4,2390.0,18.4,14.0,90.4,166.0,2018
Mendocino County,California,78.8622505182297,6,45,9.2,1528.0,34090.0,73121.0,87422.0,4000.0,21679.0,2050.0,610.0,49233.0,42.8,0.4736,20783.0,24.7,13917.0,16.8,18.5,86.9,531.0,2018
Merced County,California,78.6740314276637,6,47,12.7,4383.0,79606.0,154376.0,269075.0,8676.0,158494.0,8629.0,1418.0,50129.0,30.9,0.4708,60642.0,14.0,38228.0,13.6,22.7,69.4,8772.0,2018
Modoc County,California,77.2922317763807,6,49,8.1,43.0,3660.0,8046.0,8938.0,160.0,1292.0,114.0,103.0,45149.0,47.7,0.4113,2173.0,15.9,857.0,18.1,16.6,85.6,149.0,2018
Mono County,California,85.3082290449747,6,51,3.1,80.0,4847.0,12017.0,14174.0,164.0,3866.0,146.0,47.0,63018.0,38.3,0.3701,2524.0,30.6,1833.0,6.5,10.4,88.7,105.0,2018
Monterey County,California,82.0510756660361,6,53,5.4,4530.0,126052.0,256709.0,433212.0,14834.0,252588.0,8951.0,1454.0,66676.0,34.1,0.4619,91714.0,24.5,61690.0,8.9,14.1,71.3,11200.0,2018
Napa County,California,81.4546639927278,6,55,5.0,1660.0,49032.0,102711.0,140530.0,4246.0,47687.0,2562.0,794.0,84753.0,41.1,0.4719,33730.0,34.9,17776.0,11.8,8.1,85.1,2867.0,2018
Nevada County,California,81.1772572867672,6,57,6.4,1030.0,40904.0,91579.0,99092.0,2966.0,9281.0,1724.0,659.0,63240.0,50.1,0.4634,26483.0,36.6,10498.0,14.9,11.4,94.2,655.0,2018
Orange County,California,82.7692260205684,6,59,5.1,32826.0,1032373.0,1950902.0,3164182.0,121332.0,1080195.0,53659.0,12554.0,85398.0,37.8,0.47,741721.0,39.9,440104.0,8.6,11.5,85.1,54732.0,2018
Placer County,California,81.8330268106076,6,61,4.9,3666.0,140661.0,313636.0,380077.0,9550.0,52498.0,5938.0,1739.0,84357.0,41.9,0.4474,98332.0,38.6,39961.0,10.7,8.0,94.6,6197.0,2018
Plumas County,California,78.4717776495267,6,63,6.4,259.0,8047.0,16654.0,18699.0,510.0,1629.0,349.0,194.0,53270.0,52.2,0.4549,4859.0,23.5,2179.0,18.4,11.7,93.9,194.0,2018
Riverside County,California,80.5162407320043,6,65,8.6,20266.0,718349.0,1450134.0,2383286.0,71358.0,1154517.0,47875.0,10447.0,63948.0,35.3,0.4547,524557.0,21.8,245948.0,11.4,14.7,81.7,153545.0,2018
Sacramento County,California,79.3400394926971,6,67,7.4,30359.0,536029.0,875793.0,1510023.0,63634.0,347025.0,39174.0,7292.0,63902.0,36.0,0.4583,355363.0,30.4,235947.0,12.1,15.8,87.4,149064.0,2018
San Benito County,California,81.8119632950539,6,69,7.4,310.0,17740.0,48851.0,59416.0,1289.0,35248.0,1234.0,114.0,81977.0,35.5,0.3989,14175.0,19.7,6476.0,9.4,9.2,79.9,440.0,2018
San Bernardino County,California,78.4608787343935,6,71,8.8,23142.0,630633.0,1305047.0,2135413.0,73173.0,1127813.0,55276.0,9038.0,60164.0,33.1,0.441,481066.0,20.3,256893.0,10.9,17.3,79.5,178404.0,2018
San Diego County,California,81.8152724349575,6,73,6.4,48591.0,1118980.0,2335447.0,3302833.0,144189.0,1106925.0,66423.0,12895.0,74855.0,35.6,0.463,753761.0,38.1,525090.0,9.8,12.5,87.1,166412.0,2018
San Francisco County,California,83.2321058302004,6,75,4.7,95716.0,359673.0,406538.0,870044.0,40916.0,132651.0,10356.0,14252.0,104552.0,38.2,0.5128,172190.0,57.1,224398.0,10.3,10.9,88.5,45402.0,2018
San Joaquin County,California,78.22543142894,6,77,8.7,11343.0,226727.0,411958.0,732212.0,26182.0,301256.0,18854.0,3107.0,61145.0,34.1,0.4546,168502.0,18.4,100630.0,12.4,15.9,78.9,52023.0,2018
San Luis Obispo County,California,81.3157003484936,6,79,4.6,2946.0,105317.0,242078.0,281455.0,10865.0,63002.0,4506.0,1611.0,70699.0,39.1,0.4538,66580.0,34.6,41331.0,11.5,13.3,90.9,5265.0,2018
San Mateo County,California,84.3845629127664,6,81,4.1,10418.0,261969.0,391024.0,765935.0,25314.0,189002.0,10953.0,3620.0,113776.0,39.6,0.4852,183144.0,49.9,105105.0,8.5,7.0,89.2,17849.0,2018
Santa Barbara County,California,81.7643311735787,6,83,6.1,6401.0,144962.0,344026.0,443738.0,19467.0,200060.0,8809.0,1651.0,71657.0,33.7,0.4798,95270.0,33.8,69322.0,9.9,14.8,81.0,8626.0,2018
Santa Clara County,California,84.2543556639128,6,85,4.8,24974.0,635525.0,865460.0,1922200.0,59812.0,495455.0,27346.0,7671.0,116178.0,37.0,0.4652,456440.0,51.3,274867.0,7.9,7.9,88.1,48058.0,2018
Santa Cruz County,California,82.4374330425814,6,87,6.3,3806.0,95756.0,208476.0,273765.0,12210.0,91676.0,4543.0,1428.0,78041.0,37.4,0.4826,61058.0,40.0,38883.0,11.1,14.3,86.4,2596.0,2018
Shasta County,California,76.0083184102708,6,89,6.2,3439.0,70473.0,155840.0,179085.0,7509.0,17605.0,4161.0,1349.0,50905.0,41.8,0.4603,46145.0,22.2,25752.0,17.8,17.1,90.8,2209.0,2018
Sierra County,California,78.7559184759067,6,91,4.6,45.0,1241.0,2890.0,2930.0,64.0,324.0,24.0,22.0,48125.0,55.5,0.4269,720.0,18.7,231.0,13.2,8.3,93.3,6.0,2018
Siskiyou County,California,76.3397555392635,6,93,7.9,960.0,19257.0,36971.0,43540.0,1645.0,5336.0,789.0,390.0,44200.0,48.0,0.488,11671.0,22.5,6624.0,19.4,19.4,90.0,632.0,2018
Solano County,California,79.9136116310706,6,95,7.0,5392.0,149067.0,231149.0,438530.0,15133.0,114406.0,10673.0,2149.0,77609.0,37.9,0.4231,107267.0,26.2,58647.0,12.4,10.4,88.0,61826.0,2018
Sonoma County,California,81.7938284667815,6,97,5.1,6669.0,189339.0,375519.0,501317.0,19621.0,132985.0,9170.0,2554.0,76753.0,41.7,0.4578,120415.0,34.9,74246.0,12.1,10.3,88.0,7960.0,2018
Stanislaus County,California,77.7850070672191,6,99,10.5,8179.0,172682.0,408817.0,539301.0,19132.0,245973.0,14102.0,2921.0,57387.0,34.0,0.4451,127767.0,16.9,73603.0,13.2,16.1,78.3,15534.0,2018
Sutter County,California,78.5169447108835,6,101,9.7,1411.0,32360.0,66752.0,95872.0,2566.0,29354.0,2358.0,523.0,56955.0,35.7,0.4466,23697.0,17.7,13800.0,13.8,16.0,78.0,2006.0,2018
Tehama County,California,77.2351720137537,6,103,9.3,1199.0,24025.0,54119.0,63373.0,2198.0,15623.0,1501.0,603.0,42899.0,40.9,0.4585,16004.0,15.5,8450.0,20.1,21.5,84.4,471.0,2018
Trinity County,California,76.4541995192134,6,105,8.6,224.0,5796.0,11136.0,12862.0,463.0,930.0,314.0,96.0,38497.0,51.8,0.4821,3477.0,19.7,1928.0,21.4,19.7,90.6,87.0,2018
Tulare County,California,78.1677031872242,6,107,9.4,6250.0,136106.0,352259.0,460477.0,15107.0,295149.0,13099.0,2024.0,47518.0,30.8,0.4755,104650.0,14.3,58792.0,12.1,25.5,69.8,7326.0,2018
Tuolumne County,California,78.6328973173773,6,109,6.8,550.0,22427.0,47189.0,53932.0,1534.0,6527.0,806.0,505.0,56493.0,48.4,0.4881,13770.0,20.0,6771.0,19.0,13.3,90.4,926.0,2018
Ventura County,California,82.0434292248645,6,111,5.9,8374.0,271226.0,680197.0,848112.0,26642.0,360017.0,14983.0,3026.0,84017.0,37.9,0.4476,197226.0,33.1,99672.0,10.9,9.6,84.4,14835.0,2018
Yolo County,California,81.0912989720667,6,113,6.5,4800.0,73510.0,145778.0,214977.0,10890.0,67809.0,3858.0,682.0,65923.0,31.0,0.4931,46152.0,41.6,35497.0,9.3,19.6,86.4,5834.0,2018
Yuba County,California,75.7914021288201,6,115,8.4,1423.0,26179.0,56344.0,75493.0,2504.0,20990.0,2140.0,429.0,52624.0,32.5,0.4276,18583.0,16.7,10792.0,15.8,18.0,82.0,2432.0,2018
Alamosa County,Colorado,75.9550396158801,8,3,9.3,379.0,6153.0,14297.0,16444.0,458.0,7542.0,227.0,127.0,39191.0,30.4,0.4821,3474.0,26.1,2725.0,18.4,23.7,86.5,191.0,2018
Archuleta County,Colorado,81.8918030047636,8,7,5.8,12.0,5670.0,10810.0,12908.0,249.0,2371.0,161.0,53.0,50753.0,50.6,0.4486,3710.0,38.9,1442.0,14.5,10.7,92.0,249.0,2018
